"id";"name"
18;"Calcium"
1;"Calories"
4;"Carbohydrates"
6;"Cholesterol"
25;"Copper"
2;"Fat"
30;"Fiber"
27;"Folate"
20;"Iron"
19;"Magnesium"
29;"Manganese"
12;"Phosphorus"
17;"Potassium"
8;"Protein"
3;"Saturated Fat"
10;"Selenium"
7;"Sodium"
5;"Sugar"
22;"Vitamin A"
21;"Vitamin B1"
16;"Vitamin B12"
15;"Vitamin B2"
9;"Vitamin B3"
14;"Vitamin B5"
11;"Vitamin B6"
26;"Vitamin C"
28;"Vitamin D"
23;"Vitamin E"
24;"Vitamin K"
13;"Zinc"
